"IdeaID","meaning","meaningAsm"
"17970","a tall wall made of bamboo

","বাহেৰে দিয়া ওখ বেৰ

"
"17971","A small woven cloth for wiping the face

","মুখ মচা সৰু কাপোৰ 
"
"17972","Who doesn`t want to speak
","কথা কবলৈ ইচ্ছা নকৰা
"
"17973","an identifying mark at the hinder part of the cow

","একে খুঁটিৰ গৰুৰ চিন ৰাখিবৰ বাবে ছিলিম গৰম কৰি গৰুৰ টিকাত মৰা চাব

"
"17974","the act of giving loins to the Buddhist monk

","বৌদ্ধ ভিক্ষু সংঘক কৌপিন দান

"
"17975","A fishing implement made of split bamboo sticks
","বাঁহৰ কাঠীৰে সজা এবিধ মাছ ধৰা যতন
"
"17976","saffron colour cloth worn by Buddhist monk

","বৌদ্ধ ভীক্ষুৱে পিন্ধা গেৰুৱা কাপোৰ

"
"17977","In Irish folklore a fairy in the form of a little old man 
","আইৰিচ সাধুকথাত অকণমান বুঢ়াৰ ৰূপ ধৰা ভূত
"
"17978","A drink made with lemon
","নেমুৰ ৰসেৰে তৈয়াৰ কৰা এবিধ পানীয়
"
"17979","any of various pointed, pen-shaped instruments used in drawing, artwork, etc

","লিখিবলৈ বা চিত্ৰাঙ্কণ কৰিবলৈ ব্যৱহাৰ কৰা কলমৰ দৰে জোঙা আগ থকা এক আহিলা৷

"
"17980","A small arctic migratory rodent 
","এবিধ এন্দুৰ জাতীয় পৰিভ্ৰমী প্ৰাণী যাক উত্তৰ মেৰু অঞ্চলত দেখা যায়৷
"
"17981","The act of storing foods for a long duration without getting spoiled for future consumption.","ভবিষ্যতে খাবলৈ খাদ্যবস্তু বহু দিনৰ বাবে বেয়া নোহোৱাকৈ সাঁচি ৰখা কাৰ্য৷
"
"17982","To sell goods from door to door
","ঘৰে ঘৰে গৈ বেচা
"
"17983","a serious condition caused by a blood clot forming in a blood vessel

","কোনো ৰক্ত শীৰাত তেজ গোট মাৰি ভয়ানক পৰিনতি কৰা অৱস্থা

"
"17984","violent pains, especially at the moment of death 

","

"
"17985","Shown warmth by expression of kind wishes upon meeting guests or given a polite word of recognition of welcome when meeting someone
","কোনো অতিথি লগ পোৱাৰ লাগে লাগে আদৰৰ মাত বা বিনম্ৰতাৰে মাত দিয়া
"
"17986","Having large eyes
","বহল চকু পতা, বৈ পৰা চকুযুক্ত
"
"17987","the main, bottom part of a ship, that goes in the water

","নাও বা জাহাজৰ মূল গাঁথনি অংশ

"
"17988","A goddess of the Rabhas
","ৰাভা সকলৰ এগৰাকী আৰাধ্যা দেৱী
"
"17989","A kind of wild tree
","নাহৰ পাতৰ দৰে পাতৰ এবিধ ওখ, ডাঙৰ গছ
"
"17990","In the occurrence currently happening

","বৰ্তমান ঘটি থকা ঘটনাক্ৰমত

"
"17991","a microcrystalline, translucent variety of quartz, often milky or grayish.
","এবিধ ধোৱা বৰণৰ ৰত্ন, গহনাত ব্যৱহাৰ কৰা হয়৷

"
"17992","a jumbled cluster or mass of varied parts.

","বিভিন্ন সৰু-ডাঙৰ, ভিন ভিন ৰং বা গুণ সম্পন্ন বস্তু একগোট হোৱা প্ৰক্ৰিয়া

"
"17993","one that can be agreed upon.","যিটো বা যাৰ লগত মনে মিলিছে বা ৰাজী হ’ব পাৰি৷

"
"17994","an industry concerned with the production and sale of farm products, especially involving large companies

","খেতি-বাতিৰ লগত জড়িত ব্যৱসায়, সাধাৰণতে ডাঙৰ লাভজনক কোম্পানী জড়িত থকা ব্যৱসায়৷

"
"17995","A sound that is slightly different from another sound, although both sounds belong to the same PHONEME and the difference does not affect meaning.

","উচ্চাৰণৰ সামান্য পাৰ্থক্য থকা ধ্বন্যাংশ

"
"17996","one possible form of a particular MORPHEME
~Morpheme means minimal units of grammatical structure. For example- `telephones` it has three morphemes {tele}, {phone} and {-s}.
","অৰ্থৰ সামাণ্য পাৰ্থক্য থকা শব্দাংশ

"
"17997","Cause (someone) to lose confidence or enthusiasm
","কাৰোবাক উৎসাহৰ নিদিয়া
"
"17998","a caste of the Hindus

","হিন্দুৰ এটা জাতি

"
"17999","a member of a Nepalese regiment in the British army

","ব্ৰিটিছ সেনাৰ এটা ৰেজিমেণ্টৰ নাম

"
"18000","eat or drink greedily

","

"
"18001","a killer whale or other animal of the dolphin family

","তিমি মাছ, শিহু আদি পানীত থকা, মাছৰ দৰে জন্তুসমূহ

"
"18002","the cup or dish used by Jesus at the Last Supper

","যীছুৱে ’অন্তিম নৈশাহাৰ’ত ব্যৱহাৰ কৰা পাত্ৰটিৰ নাম

"
"18003","Something that happens at the same time or place, something which is similar.
","একে সময়/স্থানত হোৱা৷
"
"18004","Address of reverence to a Brahmin
","ব্ৰাহ্মণক সন্মানসূচকভাৱে কৰা সম্বোধন
"
"18005","A medicinal pant of basil class
","সৰু ক` বৰণৰএবিধ তুলসী জাতীয় ঔষধি গছ
"
"18006","a condition in which not enough oxygen reaches the body`s tissues

","শৰীৰৰ পেশীসমূহত পৰ্যাপ্ত অম্লজান নোপোৱা অৱস্থা

"
"18007","a small bird with a grey head and a reddish brown back

","ঘৰচিৰিকাৰ নিচিনা এবিধ সৰু চৰাই৷

"
"18008","a person who writes or paints graffiti in a public place, using a special symbol or name
","গ্ৰাফিটি বা দেৱাল-অংকণ শিল্পী বিশেষ যি চিত্ৰাংকণৰ কাষত নিজৰ কোনো  বিশেষ চিহ্ন বা নাম লিখি/আঁকি থৈ যায়৷
"
"18009","Doing something only as a duty without interest

","কেৱল কৰ্তব্য হিচাপে আগ্ৰহবিহীনভাৱে কৰা কাম

"
"18010","
Not working; inoperative

","হামাহি,এলাহ,হেলা


"
"18011","that can be thrown away
","দলিয়াই দিবলগীয়া
"
"18012","Having no gap or space in-between.
","মাজত কোনো আন কোনো নথকা
"
"18013","words or phrases of deficient in taste, often having sexual reference

","শালীন নোহোৱা, সাধাৰণতে যৌনগন্ধী মাত-কথা বা বাক্য
"
"18014","
The state of being happy
","
আহ্লাদ,আনন্দ
"
"18015","a woman who hunts wild animals

","

"
"18016","a cavalry soldier who carries light weapons

","পাতল অস্ত্ৰ লোৱা সৈনিক

"
"18017","One who wishes good for
","যি উপকাৰ বা হিত চিন্তা কৰে
"
"18018","the belief that humans exist in a world with no purpose or order

","দৰ্শনশাস্ত্ৰৰ মতে, জীৱনটো অৰ্থহীন বুলি বিশ্বাস কৰা হৈছে য`ত পৃথিৱীৰ গতিবিধি ৰ্সম্পকে বুজি পোৱাটো কথিন৷
"
"18019","The basic cause, source, or origin of something

","কোনো ঘটনা বা পৰিস্থিতিৰ মূল কাৰক
"
"18020","
A piece of writing which express emotions , ideas , experience, things of the world in a few lines which can be found in rhythmical order.
","
কেইটামান শাৰীৰে এক সুবিকশিত গীতিময় লিখনী য`ত কল্পনা , অনুভৱ , অভিজ্ঞতা অথবা পৃথিৱীত থকা যিকোনো বস্তুৰ বিষয়ে প্ৰকাশ পায়৷
"
"18021","The time taken by the earth to make one revolution around the sun

","বছৰ হোৱা
"
"18022","Using or involving every possible effort and done in a very determined way

","

"
"18023","a former woman student of a school, college or university

","
প্ৰাক্তন ছাত্ৰী
"
"18024","The former male and female students of a school, college or university

","প্ৰাক্তন ছাত্ৰ-ছাত্ৰী
"
"18025","An instrument for measuring the strength of an electric current

","এবিধ আহিলা যাৰ সহায়ত ইলেকট্ৰিক কাৰেন্তৰ পৰিমাণ জোখা হয়৷

"
"18026","A suffix referring to humans: anthropology

","মানৱ জাতি বুজোৱা এক প্ৰত্যয়

"
"18027","Believing that humans are more important than anything else.",
"18028","Done earlier in time

","সকলোতকৈ আগেয়ে"
"18029","Feelings of respect and slight fear

","ভয় আৰু সন্মানমিহলি অনুভুতি


"
"18030","One who has been given advice or suggestion

","উপদেশ লাভ কৰা

"
"18031","Dried in the sun of only one day

","এদিনৰ ৰ`দতে শুকোৱা (চাউল)

"
"18032","to be oppressed with hunger or thirst

","ভোক-পিয়াহত অস্থিৰ হ

"
"18033","article of faith of Islam

","ইচলাম ধৰ্মৰ ইষ্ট-মন্ত্ৰ

"
"18034","A condemned prisoner`s last meal is a customary ritual that may precede execution.

","মৃত্যুৰ সময়ত খাই লোৱা ভাত
"
"18035","An oil-like substance extracted from the wood of a tree

","কাঠৰ পৰা উলিওৱা এবিধ তেল

"
"18036","A party given for a woman who is going to have a baby, at which her friends give her presents for the baby.

","আহিবলগীয়া সন্তান আদৰণি এক অনুষ্ঠান
"
"18037","A narrow passage behind or between buildings

","পিছ ৰাস্তা বা পদূলি বা ঘৰৰ মাজে মাজে থকা সৰু ৰাস্তা
"
"18038","a long soft seat along a wall in a restaurant etc.

","দেৱালৰ সৈতে লাগি থকা এক প্ৰকাৰৰ আৰামী চকী

"
"18039","To exchange goods, property, services, etc. for other goods, etc. without using money

","মুদ্ৰা ব্যৱহাৰ নকৰাকৈ সামগ্ৰী বা সেৱাৰ আদান-প্ৰদান কৰি কৰা বেহা-বেপাৰ
"
"18040","Watching carefully and noticing every small detail 

","সূক্ষ্ম নিৰ্দশন, ভালকৈ কোনো এটা বস্তু চোৱা

"
"18041","A person who walks along beaches collecting interesting or valuable things, either for pleasure or to sell

","পাথিক, যি সাগৰৰ পাৰে পাৰে অকলশৰে ঘুৰি-ফুৰি ভাল পায় লগতে মনোৰঞ্জনৰ বাবে মূল্যৱান বস্তু বুটলি ফুৰে৷

"
"18042","Showing or expecting a fall in the prices of shares

","বস্তুৰ দাম কমিবলৈ আশা কৰি থকা বা বিচৰা

"
"18043","A special safety seat for a child ,that can be fitted into a car/ a sit in a car
","গাড়ীবিলাকত সৰু ল`ৰা-ছোৱালীৰ বাবে থকা সুৰক্ষিত আাসন
"
"18044","
Arrange systematically; order
","পৰিপাটি

"
"18045","A wrapper for the upper portion of the body, mostly like a shawl.
","মণিপুৰী মহিলা সকলে দেহৰ ওপৰভাগত মেৰাই লোৱা মধ্যমীয়া দীঘৰ কাপোৰ 
"
"18046","A Manipuri dish prepared with mixing dried fish, boiled vegetables and chilli
","এবিধ মণিপুৰী খাদ্য বস্তু যি শুকান মাছ, বইল শাক-পাচলি আৰু জলকীয়াৰ হৈতে তৈয়াৰ কৰা হয়৷
"
"18047","a traditional game
","এক পৰম্পৰাগত খেল
"
"18048","Recommended or suggested by custom or law 
","পৰম্পৰাগত প্ৰথা বা আইনৰ দ্বাৰা নিৰ্ধাৰিত
"
"18049","The process of transferring or move something from one place to another.","এটা ঠাইৰ পৰা আন এটা ঠাইলৈ কোনো এক বস্তুৰ স্থিতি সলনি কৰা কাৰ্য্য৷"
"18050","
","এটা ঠাইৰ পৰা আন এটা ঠাইলৈ কোনো এক বস্তুৰ স্থিতি সলনি কৰা কাৰ্য্য৷
"
"18051","a kind of disease comes all on a sudden

","হঠাতে হোৱা এবিধ ৰোগ

"
"18052","Capable of being certified

","
যাক প্ৰমাণ কৰিব পৰা যায়৷
"
"18053","The place where an accident happens
","ঘটনা সংঘটিত সোৱা ঠাই ডোখৰ৷
"
"18054","a traditional game

","এক পৰম্পৰাগত খেল

"
"18055","festival groud
","যি ডোখৰ ঠাইত উৎসৱ পালন কৰা হয়
"
"18056","A statement of something to be true

","কোনো এক কথা সত্য হোৱা বুজাবলৈ
"
"18057","A chutney is a spread in the cuisines of the Indian subcontinent. Chutneys are made in a wide variety of forms, such as tomato relish, a ground peanut garnish, yogurt or curd, cucumber, spicy coconut, spicy onion or mint dipping sauce.

","

"
"18058","putting up (someone or something) with the approval as being suitable or fit for certain purpose or role
","(কাৰোবাক বা কিহবাক) কোনো কাম, ভূমিকা বা পফবীৰ বাবে উপযুক্ত বুলি ডাঙি ধৰ্‌
"
"18059","any person who studies the natural world
","প্ৰকৃতিৰ বিষয়ে অধ্যয়ন কৰা এজন ব্যক্তি বা সেই বিষয়ৰ বিশেষজ্ঞ"
"18060","afflicted with great bodily or mental suffering or pain
","শাৰীৰিক বা মানসিকভাৱে অতিশয় কষ্ট পাই থকা
"
"18061","conducting electric current
","বিদ্যুৎ প্ৰবাহিত হৈ থকা বা কৰি থকা
"
"18062","outside world
","পৃথিৱী ভিন্ন অন্য প্ৰান্ত
"
"18063","uttering a loud, deep cry
","গৰ্জন কৰি থকা বা গুঁজৰি থকা
"
"18064","attired in clean clothing of good quality, properly fitted and appropriate

","পৰিপাটি আৰু শৰীৰত খাপ খাই পৰাকৈ সুন্দৰ পোছাক পৰিধান কৰা

"
"18065","The scientific study of bacteria
","

"
"18066","caused to swing or move to and fro, as a pendulum does
","দোলকৰ দৰে দুলি থকা, অৰ্থাৎ (কোনো বস্তু) ওলমি থকা অৱস্থাত বিপৰীত দিশত বাৰম্বাৰ অগা-পিছা কৰি থকা"
"18067","the act of putting fire or the act of igniting","অগ্নি সংযোগ কৰা বা বন্তিত জুই দিয়া কাৰ্য্য
"
"18068","in every part of 
","প্ৰতিটো অংশতে
"
"18069","to roast in a grill
","খৰিকাত দে"
"18070","the eligible participants for the final contest.
","চূড়ান্ত প্ৰতিযোগী
"
"18071","to defend or guard from attack, invasion, loss, annoyance, insult, etc.
","আক্ৰমণ, অনুপ্ৰৱেশ, ক্ষতি, আমনি, অপমান আদিৰ পৰা ৰক্ষা কৰ্‌
"
"18072","an indication of a future course of action
","ভৱিষ্যৎ কৰ্মপন্থা সম্পৰ্কে দিয়া দিহা
"
"18073","without an apparent reason or pattern
","কোনো কাৰণ বা নিয়ম নোহোৱাকৈ
"
"18074","giving or capable of giving protection","সুৰক্ষা প্ৰদান কৰিব পৰা"
"18075","
The process of decorating something
","

সাজ- সজ্জা"
"18076","based on whim or personal preference, without reason
","বিশেষ কাৰণ নোহোৱাকৈ, ব্যক্তিগত ইচ্ছা অনুসৰি লোৱা বা কৰা
"
"18077","the sport or activity of riding horses

","ঘোঁৰাৰ ওপৰত উঠি কৰা কৰা কাৰ্য্য বা ক্ৰীড়া 

"
"18078","a girl or woman who behaves in a way that is considered shocking or morally wrong

","
চঞ্চল স্বভাৱৰ মহিলা
"
"18079"," annoyed or irritated and quick to take offence at petty things

","
অলপ কথাতে খং উঠা স্বভাৱ
"
"18080","
Containing a high proportion of fat 
","
বহু পৰিমাণে চৰ্বি থকা 
"
"18081","A species of bird that feed at lowland
","
দ ঠাইত চৰি ফুৰা এবিধ চৰাই 
"
"18082","A herb that can be used as a vegetable

","ৰান্ধি খাব পৰা এবিধ বন শাক

"
"18083","a picture or pattern that is made by weaving coloured wool onto heavy cloth

","
ছবি আঁকি থোৱা এখন কাপোৰ
"
"18084","a type of aquatic black insect 

","এবিধ পানীত থকা ক`লা পোক

"
"18085","
The capacity to have an effect on the character, development or behavior of someone or something, or the effect  itself
","
 মহিমা
"
"18086","A large sharp knife for cutting cooked meat

","কটাৰী, বস্তু কটা চোকা কটাৰী


"
"18087","A discipline of scientifically describing or documenting a language as it is spoken or written by a group of people in a given environment.

","এটা ভাষা কোনো অঞ্চলত কোনো নগোষ্ঠিয়ে কেনেকৈ ব্যৱহাৰ কৰে (কথিত বা লিখিত) তাক বৰ্ণনা কৰাৰ (বা নথিভুক্ত কৰাৰ) শাস্ত্ৰ৷ 

"
"18088","A common intestinal parasite. The medical condition associated with pinworm infestation is known as enterobiasis. Usually infect children.
","

"
"18089","to set or hold before or above other persons or things in estimation
","আন ব্যক্তি বা বস্তুুতকৈ আগস্থান দে বা আগতে বিবেচনা কৰ্
"
"18090","of or relating to a system
","প্ৰথা বা পদ্ধতি সম্পৰ্কীয়
"
"18091","local revenue sub-divisions of the various districts of the states of India
","ভাৰতবৰ্ষৰ ৰাজ্যসমূহৰ বিভিন্ন জিলাৰ অন্তৰ্গত এক স্থানীয় ৰাজহ উপ-বিভাগ বা অঞ্চল"
"18092","wild elephant
","বনৰীয়া হাতী
"
"18093","of or relating to anthropology
","নৃতত্বৰ সৈতে সম্পৰ্কিত
"
"18094","up to the time of","(উল্লেখিত কোনো এক) সময় পৰ্যন্ত
"
"18095","with plenty of crops
","শস্যৰে ভৰি থকা
"
"18096","Certain conventional marks or characters in writing or printing in order to separate elements and make the meaning clear, as in ending a sentence or separating clauses.
","লিখিত ভাষাত ব্যৱহাৰ হোৱা চিহ্নসমূহ যি পঢ়াৰ গত বা ধং নিৰ্ধাৰণ কৰাত সহায় কৰে

"
"18097","Certain conventional marks or characters in writing or printing in order to separate elements and make the meaning clear, as in ending a sentence or separating clauses.
","লিখিত ভাষাত ব্যৱহাৰ হোৱা চিহ্নসমূহ যি পঢ়াৰ গত বা ধং নিৰ্ধাৰণ কৰাত সহায় কৰে

"
"18098","the feeling of loneliness
","অকশৰীয়া ভাৱ
"
"18099","engaged in eating","ভোজন কৰি থকা বা খাই থকা
"
"18100","(currently) engaged in dance
","নাচি বা নৃত্য কৰি থকা
"
"18101","(currently) engaged in prayer","প্ৰাৰ্থনা কৰি থকা
"
"18102","The collective system of various levels of schools, colleges, and universities facilitates the acquisition of knowledge, skills, values, morals, beliefs, habits, and personal development.
","বিভিন্ন স্তৰৰ বিদ্যালয়, মহাবিদ্যালয় আৰু বিশ্ববিদ্যালয়ৰ সামূহিক প্ৰণালী যি জ্ঞান, দক্ষতা, মূল্যবোধ, নৈতিকতা, বিশ্বাস, অভ্যাস আৰু ব্যক্তিগত বিকাশ আহৰণকৰাত সহায় কৰে৷

"
"18103","Working or participating in an active manner
","
"
"18104","Carry out an act in a public glare
","ৰাইজে দেখা-শুনকৈ সমজুৱা স্থানত কোনো কাম কৰা"
"18105","Carry out an act in a public glare
","ৰাইজে দেখা-শুনকৈ সমজুৱা স্থানত কোনো কাম কৰা"
"18106","A circular wall of mud to hold water surround a plant.
","পানী ৰাখিবলৈ গছৰ চাৰিওফালে দিয়া মাটিৰ ঘেৰ৷
"
"18107"," marks or lines of different colours","নানা ৰঙৰ আঁচ বা ৰেখা"
"18108","consisting of all parties
","সকলো দলৰ সন্মিলিত
"
"18109","what has been divided and given out
","যিটো বিতৰণ বা আবন্তন কৰা হৈছে
"
"18110","met with an accident
","দুৰ্ঘটনাত পতিত হোৱা
"
"18111"," inhabitants of a particular country","নিৰ্দ্দিষ্ট এখন দেশৰ বাসিন্দাসকল "
"18112","belonging to or born in a boat
","নাও বা নৌকাত থকা বা জন্মা
"
"18113","style or manner of expressing or speaking
","কথা কোৱা বা প্ৰকাশ কৰাৰ ধৰণ
"
"18114","one who loves nature
","প্ৰকৃতিক ভাল পোৱা ব্যক্তি"
"18115","one who do not like publicity of his/her good deeds
","নিজে কৰা ভাল কামৰ প্ৰচাৰ নিবিচৰা লোক
"
"18116","A Surname among the Bengalis
","
"
"18117","related to pronunciation
","উচ্চাৰণৰ সৈতে সম্পৰ্ক থকা"
"18118","the act of forming (letters, words, or symbols) on a surface such as paper with an instrument such as a pen or pencil

","কাগজৰ দৰে বস্তুৰ পৃষ্ঠত (আখৰ, শব্দ বা চিহ্ন) কলম বা পেঞ্চিলৰ নিচিনা সঁজুলিৰে অঙ্কিত কৰা কাৰ্য্য

"
"18119","familiar with something
","কোনো এটা কাম কৰাৰ অভ্যাস থকা"
"18120","present in Assam
","অসমত থকা
"
"18121","not affected or contaminated by pollution
","প্ৰদূষণ নোহোৱাকৈ থকা
"
"18122","small branch or division of a branch
","সৰু শাখা বা শাখাৰ এক ভাগ
"
"18123","before the birth of Sankardeva
","শঙ্কৰদেৱৰ জন্মৰ আগৰ
"
"18124","(an institution) taken over administratively by the government of a state
","ৰাজ্য চৰকাৰে প্ৰশাসনিকভাৱে নিজৰ অধীনলৈ নিয়া (কোনো অনুষ্ঠান/প্ৰতিষ্ঠান)
"
"18125","feeling or expression of sorrow for a sin or wrongdoing done by oneself
","নিজে কৰা পাপ বা দোষৰ বাবে অনুতপ্ত বোধ কৰা কাৰ্য্য
"
"18126","a housing and care facility for elderly people who cannot or who choose not to live independently or with their family
","বুঢ়া কালত যত্ন ল`বলৈ কেও-কিছু নথকা বা স্বইচ্ছাই পৰিয়ালৰ সঙ্গ ত্যাগ কৰিবলৈ বিচৰা ব্যক্তিসকলক আশ্ৰয় আৰু শুষ্ৰূসা প্ৰদান কৰা গৃহ বা অনুষ্ঠান"
"18127","the eldest son (in a family)
","(এটা পৰিয়ালৰ) আটাইতকৈ জ্যেষ্ঠ পুত্ৰ সন্তানজন
"
"18128","a business township of lower Assam in the Barpeta district
","বৰপেটা জিলাত অৱস্থিত নামনি অসমৰ এখন বাণিজ্যিক চহৰ
"
"18129","without a crown but considered very influential (in a particular field)
","মুকুট নিপিন্ধাকৈ অৰ্থাৎ আনুষ্ঠানিকভাৱে স্বীকৃত নহ`লেও (কোনো এক ক্ষেত্ৰত) বিশেষ প্ৰভাৱ বা পাৰদৰ্শিতা থকা 
"
"18130","the art and sculpture of mask making
","মুখা তৈয়াৰ কৰা কলা তথা ভাস্কৰ্য্য
"
"18131","under the level of the ground or under the Earth`s crust
","ভূ-গৰ্ভত থকা অৰ্থাৎ মাটিৰ তলত থকা
"
"18132","the lack of financial resources
","টকা-পইচা নথকা অৱস্থা
"
"18133","full of or filled with vapor
","বাষ্প বা ভাপেৰে ভৰি থকা
"
"18134","not clearly audible (sound)
","ভালকৈ ফুটি নুঠা বা মৃদু (শব্দ)"
"18135","taking over (an institution) administratively by the government of a state
","ৰাজ্য চৰকাৰে (কোনো অনুষ্ঠান/প্ৰতিষ্ঠান) প্ৰশাসনিকভাৱে নিজৰ অধীনলৈ নিয়া কাৰ্য্য 
"
"18136","the main or principal part or component
","মুখ্য বা মূল ভাগ বা অংশ
"
"18137","(something) that has been granted permission, as to publish, use, or sell 
","যাক বা যিটোক প্ৰকাশ, ব্যৱহাৰ বা বিক্ৰীৰ বাবে অনুমতি প্ৰদান কৰা হৈছে
"
"18138","all right or authority","সকলো স্বত্ব বা অধিকাৰ"
"18139","lacking in variety

","বৈচিত্ৰ বা বিবিধতা নোহোৱা

"
"18140","a collective presidency, especially of a non-governmental organization

","একাধিক সামূহিক সভাপতিৰ এক গোট, বিশেষকৈ বেচৰাকাৰী অনুষ্ঠানৰ ক্ষেত্ৰত


"
"18141","who is being removed
","যি অপসাৰিত হৈছে বা যাক অপসাৰণ কৰা হৈছে
"
"18142","with sound
","শব্দৰ সৈতে না শব্দ কৰি কৰা বা হোৱা
"
"18143","with shyness
","লজ্জাৰে সৈতে বা লাজ কৰি কৰা
"
"18144","untouched by sunlight
","যাক সূৰ্যই স্পৰ্শ কৰা নাই বা যি পোহৰলৈ অহা নাই
"
"18145","not polite or courteous","যি নম্ৰ নহয়"
"18146","with no hesitation
","কোনো দ্বিধা নোহোৱা অৱস্থা
"
"18147","mentally or emotionally exhilarated
","মানসিক বা আৱেগিকভাৱে উত্তেজিত"
"18148","An Indian car brand with largest market share in India.

","ভাৰতৰ এটা জনপ্ৰিয় গাড়ীৰ মাৰ্কা

"
"18149","small shop made of wood, bamboo and tin standing over four poles
","চাৰিটা খুটাৰ ওপৰত কাঠ-বাঁহ আৰু টিনেৰে নিৰ্মিত সৰু দোকান ঘৰ
"
"18150","lack of movement
","গতি নথকা গুণ বা অৱস্থা
"
"18151","with surprise or astonishment
","আচৰিত হৈ; বিস্মিত হৈ
"
"18152","another planet (not the Earth)
","(পৃথিৱী ভিন্ন) অন্য গ্ৰহ
"
"18153","to be restless","অস্থিৰতা প্ৰকাশ কৰ্
"
"18154","almost set or in the process of setting
","অস্ত যাবলৈ ধৰা
"
"18155","a famous Indian sage of Hinduism
","হিন্দুধৰ্মৰ এজন প্ৰখ্যাত ভাৰতীয় ঋষি
"
"18156","Agnigarh is a hillock located in the Tezpur city of Assam, India. It was the site of a fort built by Banasura to shelter his daughter Usha in isolation and security. 
","অসমৰ তেজপুৰ নগৰস্থিত এটি সৰু পাহাৰ৷ এই ঠাইতে বাণৰজাই নিজৰ জীয়েকক সুৰক্ষিতভাৱে আছুতীয়াকৈ ৰাখিবলৈ এক দুৰ্গ নিৰ্মাণ কৰিছিল৷
"
"18157","a Hindu who belongs to one of the four main castes
","মূল চাৰি জাতিৰ অন্তৰ্ভূক্ত যিকোনো এটা জাতিৰ হিন্দু লোক"
"18158","a Tehsil in Nalbari District of Assam; recognized as a sub-district now","অসমৰ নলবাৰী জিলাৰ এখন তহচিল; বৰ্তমান উপজিলা ৰূপে স্বীকৃত
"
"18159","to grow and develop rapidly
","অতি ক্ষীপ্ৰতাৰে বাঢ়ি যা
"
"18160","rivers and tributaries ","সৰু-বৰ সকলো নদী একেলগে"
"18161","to act or behave toward (a person) in some specified way (particularly medical care of a patient)

","কোনো লোকৰ সৈতে এক বিশেষ ধৰণে ব্যৱহাৰ কৰ্ (বিশেষকৈ ৰোগীক ঔষধ আদিৰ দিহা দে)

"
"18162","residence of the `guru` or master

","গুৰু বাস কৰা ঘৰ

"
"18163","practical lesson contained in a fable, tale, experience, etc.

","সাধু, কাহিনী বা অভিজ্ঞতা আদিৰ পৰা পোৱা শিক্ষা

"
"18164","one of a series of groups
","ক্ৰমত থকা বহুতো দল বা গোটৰ মাজৰ এটা"
"18165","This is a special kind of chicken

","

"
"18166","Thias askkjsdj dfhjkdfa jkdajkadfjk 

","

"
"18167","public representative
","সাধাৰণ জনতাক প্ৰতিনিধিত্ব কৰা নিৰ্বাচিত নেতা
"
"18168","not touched or handled, as material
","স্পৰ্শ নকৰা নতুবা কোনেও নুচুৱা
"
"18169","A unit derived in terms of base units.
","প্ৰধান বা মৌলিক এককসমূহৰ দ্বাৰা প্ৰকাশ কৰা এটা জটিল একক
"
"18170","A series of logical steps in which a conclusion is reached directly from a set of initial statements (premises)
","আদিতম (প্ৰতিজ্ঞা) উক্তিকেতবোৰৰ পৰা সিদ্ধান্ত উপনীন হোৱা যৌক্তিক ঢাপৰ এক শ্ৰেণী৷
"
"18171","middle Assam
","0
"
"18172","become soft after melting
","গলি কোমল হৈ যা
"
"18173","A measuring instrument 
","এক জোখ-মাপ কৰা যন্ত্ৰ 
"
"18174","A force that acts between moving surfaces.

","দুখন চলমান উপৰিতলত সক্ৰিয় হোৱা এটি বল৷

"
"18175","The central or most important part of somthing.

","কোনো বিষয়ৰ অতি লাগতীয়াল ভাগ৷

"
"18176","act of paying
","ধন দিয়া কাম, পৰিশোধ
"
"18177","Any element of clothing which is worn on one`s head, including hats, helmets, turbans and many other types.
","মূৰত পিন্ধা কাপোৰৰ যিকোনো টুপী, হেলমেট, পাগুৰি আৰু মূৰত পিন্ধা যিকোনো পৰিধানক টুপী বা মূৰৰ পিন্ধন বুলি কোৱা হয়৷
"
"18178","Seafood is any form of sea life regarded as food by humans, prominently including fish and shellfish. Shellfish include various species of molluscs, crustaceans, and echinoderms.
","সাগৰীয় মাছ আৰু ছেলফিছকে ধৰি মানুহে খাদ্য হিচাপে গ্ৰহণ কৰা যিকোনো ধৰণৰ সাগৰীয় জীৱক সাগৰীয় খাদ্য বুলি কোৱা হয়৷
"
"18179","An officer responsible for overall functioning of a company. 
","কোনো কোম্পানীৰ সকলো দৈনন্দিন কাম-কাজৰ ভাৰপ্ৰাপ্ত বিষয়া৷
"
"18180","A small fish initially discovered in the upper streams of Brahmaputra or Siang. It is believed to be also found in Arunachal Pradesh, Bihar, West Bengal, Meghalaya, Sikkim, Uttar Pradesh, Nepal, Bhutan, and Myanmar.

","

"
"18181","urban development
","নগৰ অঞ্চলৰ উন্নয়ন
"
"18182","respect or honour related to an official position

","কোনো পদবীৰ সৈতে জড়িত সন্মান

"
"18183","46th president of USA
","আমেৰিকা যুক্তৰাষ্ট্ৰৰ ৪৬ সংখ্যক ৰাষ্ট্ৰপতি 
"
"18184","to establish or force it again
","0
"
"18185","death path
","0
"
"18186","a soft drink. Shortly used for Coca-Cola 
","এক প্ৰকাৰৰ শীতল পানীয়৷ কোকাকোলা নামৰ পানীয়ৰ বাবে চমুকৈ ব্যৱহাৰ কৰা হয় 
"
"18187","Not suffering mental or physical pain
","দেহ বা মনত কোনো বিষ নোহোৱা৷ 
"
